State,District,Value 
Arunachal Pradesh,Lower Dibang Valley,No Stress
Tamil Nadu,Kanyakumari,No Stress 
Tamil Nadu,Tiruvarur,Scarcity 
Jharkhand,Sahibganj,Scarcity
Madhya Pradesh,Niwari,Scarcity 
Uttar Pradesh,Jalaun,Scarcity
Bihar,Munger,Scarcity
Manipur,Senapati,No Stress 
Uttar Pradesh,Ghaziabad,Scarcity 
West Bengal,Alipurduar,No Stress 
Delhi,North Delhi,Scarcity
Chhattisgarh,Bastar,Stress 
Uttar Pradesh,Allahabad,Scarcity 
Tripura,North Tripura,No Stress 
Bihar,Saran,Scarcity
Nagaland,Mon,No Stress
Jammu and Kashmir,Kishtwar,Scarcity
Uttar Pradesh,Kanpur Nagar,Scarcity 
Odisha,Nayagarh,Stress
Tamil Nadu,Thoothukudi,Absolute scarcity 
Himachal Pradesh,Bilaspur,Scarcity
Andhra Pradesh,Anantapur,Scarcity 
Karnataka,Mandya,Scarcity
Bihar,Saharsa,Scarcity
Himachal Pradesh,Solan,Scarcity 
Manipur,Kamjong,No Stress
Bihar,Aurangabad,Scarcity
Kerala,Pathanamthitta,No Stress 
Madhya Pradesh,Indore,Scarcity 
Tripura,Khowai,No Stress 
Tamil Nadu,Madurai,Absolute scarcity
Rajasthan,Tonk,Scarcity
Tamil Nadu,Ariyalur,Scarcity 
Jharkhand,Deoghar,Scarcity 
Karnataka,Tumkur,Scarcity 
Gujarat,Panchmahal,Scarcity
Uttar Pradesh,Ambedkar Nagar,Scarcity
Meghalaya,Ri Bhoi,No Stress
Uttar Pradesh,Moradabad,Scarcity 
Chhattisgarh,Balrampur,Scarcity 
Madhya Pradesh,Rewa,Scarcity 
Rajasthan,Karauli,Scarcity 
Rajasthan,Pratapgarh,Scarcity
Assam,Cachar,No Stress 
Tamil Nadu,Ramanathapuram,Absolute scarcity 
Uttarakhand,Pauri Garhwal,Scarcity 
Nagaland,Phek,No Stress
Assam,Sivasagar,No Stress 
Bihar,Bhojpur,Scarcity 
Telangana,Peddapalli,Stress
Bihar,West Champaran,Scarcity
Manipur,Imphal West,No Stress 
Sikkim,East Sikkim,No Stress
Gujarat,Botad,Scarcity
Assam,South Salmara Mankachar,No Stress 
Telangana,Warangal Rural,Stress
Rajasthan,Nagaur,Scarcity
Madhya Pradesh,Sheopur,Scarcity 
Assam,Kamrup,No Stress 
Uttar Pradesh,Siddharth Nagar,Scarcity
Haryana,Jhajjar,Scarcity 
Bihar,Siwan,Scarcity 
Meghalaya,South West Khasi Hills,No Stress
Bihar,Banka,Scarcity 
Chhattisgarh,Mahasamund,Stress 
Haryana,Charkhi Dadri,Scarcity
Gujarat,Valsad,No Stress
Arunachal Pradesh,East Kameng,No Stress
Madhya Pradesh,Sidhi,Scarcity
Maharashtra,Palghar,No Stress
Mizoram,Serchhip,No Stress 
Odisha,Cuttack,Stress 
Chhattisgarh,Raipur,Stress
Rajasthan,Bhilwara,Scarcity 
Tamil Nadu,Viluppuram,Absolute scarcity
Tripura,Unokoti,No Stress
Uttar Pradesh,Basti,Scarcity 
Haryana,Mahendragarh,Scarcity 
Gujarat,Dohad,Scarcity
Assam,Tinsukia,No Stress
Kerala,Kottayam,No Stress 
Gujarat,Sabarkantha,Scarcity
Uttar Pradesh,Chandauli,Scarcity
Uttar Pradesh,Hamirpur,Scarcity
West Bengal,Nadia,Scarcity 
Odisha,Boudh,Stress
Jharkhand,Saraikela Kharsawan,Scarcity 
Jammu and Kashmir,Udhampur,Scarcity 
Punjab,Fazilka,Scarcity 
Rajasthan,Jhalawar,Scarcity
Karnataka,Chikmagalur,Scarcity 
Madhya Pradesh,Barwani,No Stress 
Telangana,Nalgonda,Scarcity 
Jammu and Kashmir,Ramban,Scarcity 
Nagaland,Zunheboto,No Stress
Kerala,Malappuram,No Stress
Manipur,Bishnupur,No Stress
Madhya Pradesh,Jhabua,Scarcity 
Madhya Pradesh,Chhindwara,Stress
Jammu and Kashmir,Bandipora,Scarcity 
Chhattisgarh,Durg,Stress 
Jharkhand,West Singhbhum,No Stress
Madhya Pradesh,Narsinghpur,No Stress
Punjab,Nawanshahr/Sbs Nagar,Scarcity
Rajasthan,Sri Ganganagar,Scarcity 
Maharashtra,Hingoli,Stress 
Punjab,Bathinda,Scarcity
Bihar,Kaimur,Scarcity 
Uttar Pradesh,Hapur,Scarcity 
Delhi,East Delhi,Scarcity 
Uttar Pradesh,Chitrakoot,Scarcity
Gujarat,Surendranagar,Scarcity 
Madhya Pradesh,Raisen,No Stress 
Sikkim,South Sikkim,No Stress 
West Bengal,Purba Bardhaman,Scarcity
Telangana,Medak,Stress
Madhya Pradesh,Mandla,No Stress 
Uttar Pradesh,Lakhimpur Kheri,Scarcity 
Maharashtra,Sangli,Scarcity 
Haryana,Gurgaon/Gururgram,Scarcity 
Karnataka,Bellary,Scarcity
Tamil Nadu,Dindigul,Scarcity
Maharashtra,Osmanabad,Scarcity
Karnataka,Belgaum,Scarcity 
Madhya Pradesh,Katni,Scarcity
Punjab,Sas Nagar/Mohali,Scarcity 
Tripura,Sipahijala,No Stress 
Uttar Pradesh,Agra,Scarcity
Chhattisgarh,Korba,Stress 
Uttar Pradesh,Rampur,Scarcity 
Bihar,Jehanabad,Scarcity
Goa,South Goa,No Stress
Maharashtra,Jalna,Stress 
Bihar,Araria,Scarcity 
Telangana,Jagtial,Stress
Bihar,Rohtas,Scarcity
Odisha,Sundargarh,No Stress 
Uttar Pradesh,Baghpat,Scarcity
Uttarakhand,Nainital,Scarcity
Karnataka,Raichur,Scarcity 
Madhya Pradesh,Harda,No Stress
Jammu and Kashmir,Muzaffarabad,Scarcity 
Assam,Karbi Anglong,No Stress
Madhya Pradesh,Morena,Scarcity 
Uttar Pradesh,Bareilly,Scarcity 
Uttar Pradesh,Faizabad,Scarcity 
West Bengal,Paschim Medinipur,Scarcity 
Arunachal Pradesh,Upper Subansiri,No Stress 
Tamil Nadu,Erode,Scarcity
West Bengal,Purulia,Scarcity 
Arunachal Pradesh,Lower Subansiri,No Stress 
Madhya Pradesh,Hoshangabad,No Stress
Rajasthan,Pali,Scarcity
Uttar Pradesh,Shamli,Scarcity 
Uttar Pradesh,Pratapgarh,Scarcity 
Uttar Pradesh,Sitapur,Scarcity 
Chhattisgarh,Gariyaband,Stress 
West Bengal,Hooghly,Scarcity 
Uttar Pradesh,Maharajganj,Scarcity
Arunachal Pradesh,Dibang Valley,No Stress
Punjab,Jalandhar,Scarcity 
Manipur,Pherzawl,No Stress
Andhra Pradesh,Y.S.R. (Kadapa),Scarcity
Assam,Barpeta,No Stress 
Jammu and Kashmir,Srinagar,Scarcity 
Manipur,Jiribam,No Stress
Tamil Nadu,Salem,Scarcity 
Uttar Pradesh,Auraiya,Scarcity 
Telangana,Nagarkurnool,Scarcity
Uttar Pradesh,Firozabad,Scarcity
Uttar Pradesh,Mahoba,Scarcity
Gujarat,Porbandar,Scarcity
Karnataka,Ramanagara,Scarcity 
Uttar Pradesh,Bijnor,Scarcity
Rajasthan,Bharatpur,Scarcity
Mizoram,Lunglei,No Stress
Rajasthan,Churu,Scarcity
Delhi,New Delhi,Scarcity 
Kerala,Kannur,No Stress
Uttar Pradesh,Lucknow,Scarcity
Nagaland,Wokha,No Stress
Odisha,Bargarh,Stress
Gujarat,Narmada,No Stress
Rajasthan,Jodhpur,Scarcity
Gujarat,Ahmedabad,Scarcity 
Tamil Nadu,Kallakurichi,Scarcity
Uttar Pradesh,Hathras,Scarcity 
Uttarakhand,Uttarkashi,Scarcity
Bihar,Muzaffarpur,Scarcity 
Telangana,Ranga Reddy,Scarcity
Bihar,Purnia,Scarcity 
Jharkhand,Khunti,No Stress 
Bihar,Samastipur,Scarcity 
Uttar Pradesh,Saharanpur,Scarcity 
West Bengal,Jalpaiguri,Scarcity
Andhra Pradesh,Kurnool,Scarcity
Karnataka,Uttara Kannada,No Stress 
Chhattisgarh,Dhamtari,Stress 
Arunachal Pradesh,Kurung Kumey,No Stress 
Haryana,Panchkula,Scarcity 
Kerala,Kozhikode,No Stress
Maharashtra,Nashik,Stress
Karnataka,Hassan,No Stress
Punjab,Ludhiana,Scarcity 
Telangana,Karimnagar,Stress 
Andhra Pradesh,Prakasam,Scarcity 
Bihar,East Champaran,Scarcity 
Telangana,Jangaon,Stress 
Telangana,Jayashankar Bhupalpally,Stress 
Tamil Nadu,Mayiladuthurai,Scarcity 
Maharashtra,Thane,No Stress
Rajasthan,Bikaner,Scarcity 
Gujarat,Amreli,Scarcity
Karnataka,Bangalore Urban,Scarcity
Rajasthan,Banswara,Scarcity 
Assam,Darrang,No Stress
Uttar Pradesh,Farrukhabad,Scarcity
Andhra Pradesh,Vizianagaram,Scarcity 
Gujarat,Rajkot,Scarcity
Assam,Karimganj,No Stress
Arunachal Pradesh,West Kameng,No Stress 
Daman and Diu,Diu,Scarcity 
Himachal Pradesh,Lahul & Spiti,Scarcity
Madhya Pradesh,Shahdol,Scarcity 
Mizoram,Kolasib,No Stress 
Nagaland,Dimapur,No Stress
Assam,Baksa,No Stress
Odisha,Dhenkanal,No Stress
Odisha,Jajapur,No Stress
Tamil Nadu,Nagapattinam,Scarcity 
Gujarat,Devbhumi Dwarka,Scarcity
Jharkhand,Godda,Scarcity
Madhya Pradesh,Singrauli,Scarcity 
Tamil Nadu,Nilgiris,Scarcity 
Uttar Pradesh,Ghazipur,Scarcity 
Madhya Pradesh,Betul,Stress 
Punjab,Fatehgarh Sahib,Scarcity
Telangana,Suryapet,Scarcity 
Madhya Pradesh,Gwalior,Scarcity
Chhattisgarh,Mungeli,Stress 
Manipur,Kangpokpi,No Stress
Chhattisgarh,Baloda Bazar,Stress 
Bihar,Madhepura,Scarcity
Delhi,North-East Delhi,Scarcity 
Uttar Pradesh,Jaunpur,Scarcity
Bihar,Bhagalpur,Scarcity 
Uttar Pradesh,Sant Kabir Nagar,Scarcity 
Mizoram,Mamit,No Stress
Gujarat,Kheda,Scarcity
Madhya Pradesh,Anuppur,Scarcity
West Bengal,Paschim Bardhaman,Scarcity 
Punjab,Hoshiarpur,Scarcity 
Madhya Pradesh,Balaghat,Stress
Telangana,Khammam,Stress
Uttar Pradesh,Barabanki,Scarcity 
Gujarat,Banaskantha,Scarcity 
Jharkhand,Bokaro,Scarcity 
Odisha,Mayurbhanj,Scarcity 
Punjab,Kapurthala,Scarcity
Haryana,Fatehabad,Scarcity 
Tamil Nadu,Tiruchirappalli,Scarcity 
Karnataka,Dakshina Kannada,Scarcity 
Odisha,Angul,No Stress
Chhattisgarh,Bilaspur,Stress 
Himachal Pradesh,Chamba,Scarcity 
Bihar,Vaishali,Scarcity 
Himachal Pradesh,Kullu,Scarcity 
Uttar Pradesh,Ballia,Scarcity 
Jammu and Kashmir,Mirpur,Scarcity
Odisha,Nuapada,Stress
Uttar Pradesh,Jhansi,Scarcity
Madhya Pradesh,Datia,Scarcity 
Arunachal Pradesh,Shi Yomi,No Stress
Bihar,Supaul,Scarcity 
Sikkim,North Sikkim,No Stress
Tamil Nadu,Perambalur,Absolute scarcity
Telangana,Adilabad,Stress 
Odisha,Khordha,Stress 
Arunachal Pradesh,Namsai,No Stress 
Tamil Nadu,Vellore,Absolute scarcity
Jammu and Kashmir,Rajauri,Scarcity 
Uttar Pradesh,Pilibhit,Scarcity
Uttar Pradesh,Kanpur Dehat,Scarcity 
Tamil Nadu,Tenkasi,Scarcity
Gujarat,Bhavnagar,Scarcity
Uttar Pradesh,Meerut,Scarcity
Bihar,Kishanganj,Scarcity
Jharkhand,Pakur,Scarcity 
Arunachal Pradesh,East Siang,No Stress
Madhya Pradesh,Dindori,No Stress 
Jharkhand,Gumla,No Stress
Tamil Nadu,Dharmapuri,Scarcity
Chandigarh,Chandigarh,Scarcity 
Maharashtra,Solapur,Scarcity
Uttar Pradesh,Kannauj,Scarcity
Tamil Nadu,Cuddalore,Absolute scarcity 
Jharkhand,Garhwa,Scarcity
Uttar Pradesh,Unnao,Scarcity
Assam,Biswanath,No Stress
Jammu and Kashmir,Budgam,Scarcity 
Odisha,Subarnapur,Stress
Maharashtra,Washim,Stress
Rajasthan,Rajsamand,Scarcity
Tamil Nadu,Chengalpattu,Scarcity
Uttar Pradesh,Kasganj,Scarcity 
Bihar,Madhubani,Scarcity 
Karnataka,Bidar,Stress
Odisha,Koraput,Stress 
Manipur,Ukhrul,No Stress 
Maharashtra,Raigad,No Stress
Rajasthan,Jhunjhunu,Scarcity 
Tamil Nadu,Virudhunagar,Absolute scarcity 
Jharkhand,Palamu,Scarcity 
Haryana,Bhiwani,Scarcity
Madhya Pradesh,Sagar,Scarcity
Uttar Pradesh,Gautam Buddha Nagar,Scarcity 
Tamil Nadu,Chennai,Absolute scarcity 
Assam,Udalguri,No Stress 
Madhya Pradesh,Mandsaur,Scarcity
Madhya Pradesh,Sehore,No Stress 
Gujarat,Tapi,No Stress 
Maharashtra,Nanded,Stress 
Madhya Pradesh,Bhind,Scarcity 
Bihar,Nawada,Scarcity
Assam,Nagaon,No Stress 
Telangana,Mahabubabad,Scarcity 
Gujarat,Aravalli,Scarcity 
Jammu and Kashmir,Reasi,Scarcity 
Andhra Pradesh,Guntur,Scarcity
Bihar,Patna,Scarcity 
Jharkhand,Latehar,Scarcity 
Haryana,Mewat,Scarcity 
Kerala,Ernakulam,No Stress 
Kerala,Wayanad,Scarcity 
Uttar Pradesh,Rae Bareli,Scarcity
Jharkhand,Hazaribagh,Scarcity
Telangana,Mahabubnagar,Scarcity 
Haryana,Rohtak,Scarcity 
Rajasthan,Alwar,Scarcity
Rajasthan,Kota,Scarcity 
Karnataka,Kolar,Absolute scarcity
Manipur,Thoubal,No Stress
Assam,Charaideo,No Stress
Nagaland,Longleng,No Stress
Assam,Kokrajhar,No Stress 
Arunachal Pradesh,Changlang,No Stress 
Tamil Nadu,Sivaganga,Absolute scarcity
Uttarakhand,Tehri Garhwal,Scarcity 
Jammu and Kashmir,Kulgam,Scarcity
Maharashtra,Wardha,Stress 
Uttar Pradesh,Sultanpur,Scarcity 
Jammu and Kashmir,Jammu,Scarcity 
Assam,Dhemaji,No Stress
Ladakh,Kargil,Scarcity
Jharkhand,East Singhbhum,No Stress
Karnataka,Shimoga,Scarcity 
Maharashtra,Pune,Scarcity
Madhya Pradesh,Alirajpur,No Stress
Chhattisgarh,Kawardha/ Kabirdham,Stress
Madhya Pradesh,Chhatarpur,Scarcity 
Kerala,Alappuzha,No Stress
Manipur,Noney,No Stress
Meghalaya,East Garo Hills,No Stress 
Meghalaya,West Khasi Hills,No Stress
Bihar,Jamui,Scarcity 
Assam,Dibrugarh,No Stress 
Assam,Kamrup (Metro),No Stress
Bihar,Darbhanga,Scarcity 
Karnataka,Chitradurga,Scarcity
Andhra Pradesh,Krishna,Scarcity 
Meghalaya,West Garo Hills,No Stress 
